# What plugs into the bus interface besides the processor's cables, read off
# cadr1/busint.wlr: every wire with a pin on a connector of the Unibus
# (CUBUS), the Xbus (CXBUS) or the two debug cables (DBGIN, DBGOUT), by
# the drawing the connector is on. src/cable.rs pulls each wire up when it
# builds the board; nothing regenerates this from the list or checks it
# against it.
#
# page | wire
DBGIN | -DEBUG IN REQ
DBGOUT | -DEBUG OUT REQ
CUBUS | -LM BOOT
CUBUS | -UB ADR0
CUBUS | -UB ADR1
CUBUS | -UB ADR10
CUBUS | -UB ADR11
CUBUS | -UB ADR12
CUBUS | -UB ADR13
CUBUS | -UB ADR14
CUBUS | -UB ADR15
CUBUS | -UB ADR16
CUBUS | -UB ADR17
CUBUS | -UB ADR2
CUBUS | -UB ADR3
CUBUS | -UB ADR4
CUBUS | -UB ADR5
CUBUS | -UB ADR6
CUBUS | -UB ADR7
CUBUS | -UB ADR8
CUBUS | -UB ADR9
CUBUS | -UB BBSY
CUBUS | -UB BR4
CUBUS | -UB BR5
CUBUS | -UB BR6
CUBUS | -UB BR7
CUBUS | -UB C0
CUBUS | -UB C1
CUBUS | -UB INIT
CUBUS | -UB INTR
CUBUS | -UB MSYN
CUBUS | -UB NPR
CUBUS | -UB SACK
CUBUS | -UB SSYN
CUBUS | -UBD0
CUBUS | -UBD1
CUBUS | -UBD10
CUBUS | -UBD11
CUBUS | -UBD12
CUBUS | -UBD13
CUBUS | -UBD14
CUBUS | -UBD15
CUBUS | -UBD2
CUBUS | -UBD3
CUBUS | -UBD4
CUBUS | -UBD5
CUBUS | -UBD6
CUBUS | -UBD7
CUBUS | -UBD8
CUBUS | -UBD9
CXBUS | -XADDR PAR
CXBUS | -XADDR0
CXBUS | -XADDR1
CXBUS | -XADDR10
CXBUS | -XADDR11
CXBUS | -XADDR12
CXBUS | -XADDR13
CXBUS | -XADDR14
CXBUS | -XADDR15
CXBUS | -XADDR16
CXBUS | -XADDR17
CXBUS | -XADDR18
CXBUS | -XADDR19
CXBUS | -XADDR2
CXBUS | -XADDR20
CXBUS | -XADDR21
CXBUS | -XADDR3
CXBUS | -XADDR4
CXBUS | -XADDR5
CXBUS | -XADDR6
CXBUS | -XADDR7
CXBUS | -XADDR8
CXBUS | -XADDR9
CXBUS | -XBUS ACK
CXBUS | -XBUS BUSY
CXBUS | -XBUS EXTGRANT OUT
CXBUS | -XBUS EXTRQ
CXBUS | -XBUS IGNPAR
CXBUS | -XBUS INIT
CXBUS | -XBUS INTR
CXBUS | -XBUS PAR
CXBUS | -XBUS POWER RESET
CXBUS | -XBUS RQ
CXBUS | -XBUS SYNC
CXBUS | -XBUS WR
CXBUS | -XBUS0
CXBUS | -XBUS1
CXBUS | -XBUS10
CXBUS | -XBUS11
CXBUS | -XBUS12
CXBUS | -XBUS13
CXBUS | -XBUS14
CXBUS | -XBUS15
CXBUS | -XBUS16
CXBUS | -XBUS17
CXBUS | -XBUS18
CXBUS | -XBUS19
CXBUS | -XBUS2
CXBUS | -XBUS20
CXBUS | -XBUS21
CXBUS | -XBUS22
CXBUS | -XBUS23
CXBUS | -XBUS24
CXBUS | -XBUS25
CXBUS | -XBUS26
CXBUS | -XBUS27
CXBUS | -XBUS28
CXBUS | -XBUS29
CXBUS | -XBUS3
CXBUS | -XBUS30
CXBUS | -XBUS31
CXBUS | -XBUS32
CXBUS | -XBUS33
CXBUS | -XBUS34
CXBUS | -XBUS35
CXBUS | -XBUS4
CXBUS | -XBUS5
CXBUS | -XBUS6
CXBUS | -XBUS7
CXBUS | -XBUS8
CXBUS | -XBUS9
DBGIN | DBD0
DBGOUT | DBD0
DBGIN | DBD1
DBGOUT | DBD1
DBGIN | DBD10
DBGOUT | DBD10
DBGIN | DBD11
DBGOUT | DBD11
DBGIN | DBD12
DBGOUT | DBD12
DBGIN | DBD13
DBGOUT | DBD13
DBGIN | DBD14
DBGOUT | DBD14
DBGIN | DBD15
DBGOUT | DBD15
DBGIN | DBD2
DBGOUT | DBD2
DBGIN | DBD3
DBGOUT | DBD3
DBGIN | DBD4
DBGOUT | DBD4
DBGIN | DBD5
DBGOUT | DBD5
DBGIN | DBD6
DBGOUT | DBD6
DBGIN | DBD7
DBGOUT | DBD7
DBGIN | DBD8
DBGOUT | DBD8
DBGIN | DBD9
DBGOUT | DBD9
DBGIN | DEBUG IN A0
DBGIN | DEBUG IN A1
DBGIN | DEBUG IN ACK
DBGIN | DEBUG IN WR
DBGOUT | DEBUG OUT A0
DBGOUT | DEBUG OUT A1
DBGOUT | DEBUG OUT ACK
DBGOUT | DEBUG OUT WR
CUBUS | LOCAL ENABLE
CUBUS | UB BG4 IN
CUBUS | UB BG5 IN
CUBUS | UB BG6 IN
CUBUS | UB BG7 IN
CUBUS | UB NPG IN
CUBUS | UB NPG OUT
