# The five cables between the processor and the bus interface, pin by pin,
# read off MIT's wire lists: cadrwd/cadr4.wlr and icmem3.wlr on one side and
# cadr1/busint.wlr on the other. Which connector meets which header --- 1A-J1
# to J11, 1B-J1 to J12, 1C-J1 to J9, 3A-J1 to J7, and the ICMEM board's 1A-J1
# to J8 --- is the pairing the boards were cabled with; a pairing wrong
# anywhere would put a cable's wires on the wrong nets, which no chip run
# would survive. Each line: the processor
# connector and pin, the bus interface header and pin, then on each side
# the wire's name and one part pin on it --- page, reference, pin --- to
# find the net by; `-` where the wire touches no part on that board.
# src/cable.rs joins the two boards by it; nothing regenerates it from
# the lists or checks it against them.
#
# cpu-conn pin busint-conn pin | cpu wire | cpu anchor | busint wire | busint anchor
1AJ1  1 J11  1 | MEM31 | MDS 1A11 18 | MEM31 | LMDATA 0B30 19
1AJ1  2 J11  2 | MEM30 | MDS 1A11 16 | MEM30 | LMDATA 0B30 18
1AJ1  3 J11  3 | MEM29 | MDS 1A11 14 | MEM29 | LMDATA 0B30 17
1AJ1  4 J11  4 | MEM28 | MDS 1A11 12 | MEM28 | LMDATA 0B30 16
1AJ1  5 J11  5 | MEM27 | MDS 1A11 9 | MEM27 | LMDATA 0B30 15
1AJ1  6 J11  6 | MEM26 | MDS 1A11 7 | MEM26 | LMDATA 0B30 14
1AJ1  7 J11  7 | MEM25 | MDS 1A11 5 | MEM25 | LMDATA 0B30 13
1AJ1  8 J11  8 | MEM24 | MDS 1A11 3 | MEM24 | LMDATA 0B30 12
1AJ1  9 J11  9 | MEM23 | MDS 1A17 18 | MEM23 | LMDATA 0B29 19
1AJ1 10 J11 10 | MEM22 | MDS 1A17 16 | MEM22 | LMDATA 0B29 18
1AJ1 11 J11 11 | MEM21 | MDS 1A17 14 | MEM21 | LMDATA 0B29 17
1AJ1 12 J11 12 | MEM20 | MDS 1A17 12 | MEM20 | LMDATA 0B29 16
1AJ1 13 J11 13 | MEM19 | MDS 1A17 9 | MEM19 | LMDATA 0B29 15
1AJ1 14 J11 14 | MEM18 | MDS 1A17 7 | MEM18 | LMDATA 0B29 14
1AJ1 15 J11 15 | MEM17 | MDS 1A17 5 | MEM17 | LMDATA 0B29 13
1AJ1 16 J11 16 | MEM16 | MDS 1A17 3 | MEM16 | LMDATA 0B29 12
1AJ1 17 J11 17 | MEM15 | MDS 1A19 18 | MEM15 | LMDATA 0B28 19
1AJ1 18 J11 18 | MEM14 | MDS 1A19 16 | MEM14 | LMDATA 0B28 18
1AJ1 19 J11 19 | MEM13 | MDS 1A19 14 | MEM13 | LMDATA 0B28 17
1AJ1 20 J11 20 | MEM12 | MDS 1A19 12 | MEM12 | LMDATA 0B28 16
1BJ1  1 J12  1 | MEM11 | MDS 1C26 14 | MEM11 | LMDATA 0B28 15
1BJ1  2 J12  2 | MEM10 | MDS 1C26 11 | MEM10 | LMDATA 0B28 14
