# The disk controller's two Trident connectors, pin by pin, read off MIT's
# wire list cadrdc/dc.wlr (10 December 1980).
#
# J01 is the bus cable, which every drive on the string sees; J03 is the
# radial cable, which belongs to one drive. Those are Century Data's own
# names for the two, from Al Kossow's tridentCables.pdf; MIT titles the
# drawings behind them TRIDENT SIGNAL CABLE (dctrsg) and SINGLE TRIDENT
# (dctrid). Neither party calls them the A and B cables, so neither do we.
#
# Each line: the connector and pin, the wire MIT names it, then every pin
# the board puts on that wire --- page, reference, pin, body. The body says
# which way the line runs:
#
#   75452     open-collector peripheral driver: the controller drives it
#   TRITERM   the cable terminator the controller receives one through
#   SIP100-8  100 ohms to +5, one resistor per bus cable line
#   75107     the radial cable's differential receiver: read data and clock
#   75110     the radial cable's differential driver: write data
#   16DUMMY   the resistor pack terminating the radial cable's two pairs
#
# `-` is a pin with nothing listed after it. For GND and +5.0V that is only
# because they reach half the board and their hundreds of pins would say
# nothing about the cable. For the other seven it is the fact: MIT's own
# list flags each of them ONE PIN RUN. Six are lines the drive drives that
# this controller has no use for --- it takes sector and index off the
# radial cable's composite instead of off the bus cable --- and the seventh
# is a spare.
#
# J01 has 40 wired pins and Century Data's bus cable has 40 conductors,
# signal for signal, ground for ground, down to the single spare position;
# J03 has 20 of the radial cable's 40. The numbering is not shared: J01 and
# J03 are the board's own headers, so the correspondence is by name.
#
# Two sources describe the same cables and they are not equal. MIT's wire
# list is the board as it was wrapped, and is what the rows below are read
# from. Century Data's tridentCables.pdf is the cable's own maker
# describing the other end, and it is the weaker of the two: it misnumbers
# three pins and it numbers the bus in the opposite direction from MIT.
# Where they disagree the wire list is followed, and `data/trident-bus.txt`
# carries Century Data's name for each line beside MIT's so the two can be
# read together.
#
# tests/cadrdc_netlist.rs regenerates the rows from the wire list and
# compares. The header above is written by hand and kept.
#
# conn pin | wire | board pins, as page reference pin body
J01  1 | TRIDENT.CYL.TAG/ | DCTRSG B03@03 3 75452, DCTRSG A01@03 5 SIP100-8
J01  2 | TRIDENT.CONTROL.TAG/ | DCTRSG B05 3 75452, DCTRSG A01@03 6 SIP100-8
J01  3 | TRIDENT.TER.IN/ | -
J01  4 | GND | -
J01  5 | GND | -
J01  6 | GND | -
J01  7 | GND | -
J01  8 | GND | -
J01  9 | GND | -
J01 10 | GND | -
J01 11 | GND | -
J01 12 | GND | -
J01 13 | GND | -
J01 14 | GND | -
J01 15 | GND | -
J01 16 | GND | -
J01 17 | +5.0V | -
J01 18 | +5.0V | -
J01 19 | TRIDENT.ADDR.MK.DET/ | -
J01 20 | TRIDENT.SECTOR/ | -
J01 26 | TRIDENT.HEAD.TAG/ | DCTRSG B03@03 5 75452, DCTRSG A01@03 4 SIP100-8
J01 27 | TRIDENT.BUS0/ | DCTRSG B01 5 75452, DCTRSG A01@20 2 SIP100-8
J01 28 | TRIDENT.BUS1/ | DCTRSG B01 3 75452, DCTRSG A01@20 3 SIP100-8
J01 29 | TRIDENT.BUS2/ | DCTRSG B01@03 5 75452, DCTRSG A01@20 4 SIP100-8
J01 30 | TRIDENT.BUS3/ | DCTRSG B01@03 3 75452, DCTRSG A01@20 5 SIP100-8
J01 31 | TRIDENT.BUS4/ | DCTRSG A06@20 5 SIP100-8, DCTRSG A02 3 75452
J01 32 | TRIDENT.BUS5/ | DCTRSG A06@20 6 SIP100-8, DCTRSG A02 5 75452
J01 33 | TRIDENT.BUS6/ | DCTRSG A06@20 7 SIP100-8, DCTRSG A02@03 3 75452
J01 34 | TRIDENT.BUS7/ | DCTRSG A02@03 5 75452, DCTRSG B02@03 3 SIP100-8
J01 35 | TRIDENT.BUS8/ | DCTRSG B02@03 4 SIP100-8, DCTRSG B03 3 75452
